model,best_hyperparameter,ticker,Confusion_Matrix,fpr,tpr,AUC,F1,Accuracy,Precision,Recall,KS_Stat,KS_pvalue,model_rank,model_rank_overall
Logistic_reg,,ALLE,"[[145  16]
 [ 12 173]]",[0.         0.09937888 1.        ],[0.         0.93513514 1.        ],0.9178781265737789,0.9251336898395722,91.90751445086705,91.53439153439153,93.51351351351352,0.011560693641618497,0.9999999999999999,1,1
Logistic_reg,,SPG,"[[132  20]
 [ 10 184]]",[0.         0.13157895 1.        ],[0.         0.94845361 1.        ],0.9084373304395008,0.9246231155778893,91.32947976878613,90.19607843137256,94.84536082474226,0.028901734104046242,0.9987517849671945,2,2
Logistic_reg,,AME,"[[133  17]
 [ 19 177]]",[0.         0.11333333 1.        ],[0.         0.90306122 1.        ],0.8948639455782313,0.9076923076923077,89.59537572254335,91.23711340206185,90.3061224489796,0.005780346820809248,0.9999999999999996,3,3
Logistic_reg,,FTI,"[[161  14]
 [ 18 153]]",[0.   0.08 1.  ],[0.         0.89473684 1.        ],0.9073684210526316,0.9053254437869822,90.7514450867052,91.61676646706587,89.47368421052632,0.011560693641618497,0.9999999999999999,4,4
Logistic_reg,,PPG,"[[133  14]
 [ 24 175]]",[0.        0.0952381 1.       ],[0.         0.87939698 1.        ],0.892079444843264,0.9020618556701031,89.01734104046243,92.5925925925926,87.93969849246231,0.028901734104046242,0.9987517849671945,5,5
Logistic_reg,,EL,"[[123  25]
 [ 16 182]]",[0.         0.16891892 1.        ],[0.         0.91919192 1.        ],0.8751365001365002,0.8987654320987655,88.15028901734104,87.92270531400966,91.91919191919192,0.02601156069364162,0.9998162332319306,6,6
Logistic_reg,,HES,"[[145  18]
 [ 19 164]]",[0.         0.11042945 1.        ],[0.         0.89617486 1.        ],0.8928727077676086,0.8986301369863015,89.30635838150289,90.10989010989012,89.61748633879782,0.002890173410404624,1.0,7,7
Logistic_reg,,PNR,"[[152  13]
 [ 23 158]]",[0.         0.07878788 1.        ],[0.         0.87292818 1.        ],0.8970701490038507,0.8977272727272728,89.59537572254335,92.39766081871345,87.29281767955801,0.028901734104046242,0.9987517849671945,8,8
Logistic_reg,,VNO,"[[152  21]
 [ 15 158]]",[0.         0.12138728 1.        ],[0.        0.9132948 1.       ],0.8959537572254335,0.8977272727272727,89.59537572254335,88.26815642458101,91.32947976878613,0.017341040462427744,0.9999999995809722,9,9
Logistic_reg,,SJM,"[[143  18]
 [ 20 165]]",[0.         0.11180124 1.        ],[0.         0.89189189 1.        ],0.8900453248279335,0.8967391304347826,89.01734104046243,90.1639344262295,89.1891891891892,0.005780346820809248,0.9999999999999996,10,10
Logistic_reg,,EMN,"[[134  23]
 [ 17 172]]",[0.         0.14649682 1.        ],[0.         0.91005291 1.        ],0.8817780473831429,0.8958333333333333,88.4393063583815,88.2051282051282,91.005291005291,0.017341040462427744,0.9999999995809722,11,11
Logistic_reg,,UHS,"[[145  13]
 [ 25 163]]",[0.         0.08227848 1.        ],[0.         0.86702128 1.        ],0.8923713977915433,0.8956043956043956,89.01734104046243,92.61363636363636,86.70212765957447,0.03468208092485549,0.9856131263450217,12,12
Logistic_reg,,KLAC,"[[124  27]
 [ 15 180]]",[0.         0.17880795 1.        ],[0.         0.92307692 1.        ],0.8721344880285278,0.8955223880597014,87.86127167630057,86.95652173913044,92.3076923076923,0.03468208092485549,0.9856131263450217,13,13
Logistic_reg,,NEE,"[[121  30]
 [ 13 182]]",[0.        0.1986755 1.       ],[0.         0.93333333 1.        ],0.8673289183222959,0.8943488943488944,87.57225433526011,85.84905660377359,93.33333333333333,0.049132947976878616,0.7985843866692599,14,14
Logistic_reg,,INCY,"[[153  17]
 [ 20 156]]",[0.  0.1 1. ],[0.         0.88636364 1.        ],0.8931818181818182,0.8939828080229225,89.30635838150289,90.17341040462428,88.63636363636364,0.008670520231213872,1.0,15,15
Logistic_reg,,MAC,"[[143  16]
 [ 23 164]]",[0.         0.10062893 1.        ],[0.         0.87700535 1.        ],0.8881882083879864,0.8937329700272479,88.72832369942196,91.11111111111111,87.70053475935828,0.02023121387283237,0.9999997796186213,16,16
Logistic_reg,,INFO,"[[138  22]
 [ 18 168]]",[0.     0.1375 1.    ],[0.         0.90322581 1.        ],0.8828629032258065,0.8936170212765957,88.4393063583815,88.42105263157895,90.32258064516128,0.011560693641618497,0.9999999999999999,17,17
Logistic_reg,,K,"[[128  21]
 [ 21 176]]",[0.        0.1409396 1.       ],[0.         0.89340102 1.        ],0.8762307089564951,0.8934010152284264,87.86127167630057,89.34010152284264,89.34010152284264,0.0,1.0,18,18
Logistic_reg,,OMC,"[[128  26]
 [ 16 176]]",[0.         0.16883117 1.        ],[0.         0.91666667 1.        ],0.873917748917749,0.8934010152284264,87.86127167630057,87.12871287128714,91.66666666666666,0.028901734104046242,0.9987517849671945,19,19
Logistic_reg,,PCG,"[[135  29]
 [ 12 170]]",[0.         0.17682927 1.        ],[0.         0.93406593 1.        ],0.8786183328866256,0.8923884514435695,88.15028901734104,85.42713567839196,93.4065934065934,0.049132947976878616,0.7985843866692599,20,20
